VM,MIG,VM test count,MIG test count,KS Statistic,VM geo mean,MIG geo mean,Geo distance (VM/MIG),Geo distance (MIG/VM)
chs01,chs02,620232.0,256960.0,0.008888888888888889,32.327787918989955,33.06561521993529,0.9776859648296973,1.0228233154335908
dfw09,dfw12,324576.0,92298.0,0.013333333333333334,38.878120988966806,37.80168863959069,1.028475774181388,0.9723126446959307
lax07,lax10,248475.0,76058.0,0.017777777777777778,32.210183313205924,33.35161883129934,0.9657757087034642,1.035437100962584
yul07,yul08,90227.0,27644.0,0.013333333333333334,36.775068294444246,36.24664013194839,1.0145786798603187,0.9856308040473255
gru05,gru06,633009.0,457408.0,0.04,22.343512499680855,24.107285210413345,0.9268365269943124,1.0789389184336027
zrh01,zrh02,254477.0,108608.0,0.03111111111111111,22.275569433056656,23.048623815440212,0.966459846428415,1.0347041356094966
doh01,doh02,40514.0,15365.0,0.008888888888888889,12.405522722220688,11.950298557523535,1.0380931206451371,0.9633047171900496
bom03,bom06,620750.0,177664.0,0.013333333333333334,11.139368856721992,11.529978143641515,0.9661222873059016,1.035065656945529
cgk01,cgk02,1288026.0,483087.0,0.035555555555555556,5.14619552548187,5.786504159331284,0.8893444787701645,1.1244236894379287
icn01,icn02,78945.0,30676.0,0.07555555555555556,48.631625942115775,51.65493366313889,0.941471075333496,1.0621675229329497
